Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,59.85,3431,2429,52,1.15096154,Conversas por mensagem iniciadas,2,29.925,2026-08-26,2026-08-26,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-26,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,24.06,342,248,13,1.85076923,Conversas por mensagem iniciadas,4,6.015,2026-08-26,2026-08-26,
[AGO]_[SN]_Card_Condição - Lote,2026-08-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,21.94,801,603,13,1.68769231,Conversas por mensagem iniciadas,2,10.97,2026-08-26,2026-08-26,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,72.06,4355,3121,70,1.02942857,Conversas por mensagem iniciadas,4,18.015,2026-08-25,2026-08-25,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-25,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.54,429,350,14,2.03857143,Conversas por mensagem iniciadas,1,28.54,2026-08-25,2026-08-25,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.03,879,806,14,0.93071429,,,,2026-08-25,2026-08-25,
[AGO]_[SN]_Card_Condição - Lote,2026-08-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,26.53,1004,814,16,1.658125,Conversas por mensagem iniciadas,1,26.53,2026-08-25,2026-08-25,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,72.24,4788,3507,40,1.806,Conversas por mensagem iniciadas,6,12.04,2026-08-25,2026-08-25,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,51.83,2894,2157,25,2.0732,Conversas por mensagem iniciadas,6,8.63833333,2026-08-24,2026-08-24,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,66.69,3386,2558,55,1.21254545,Conversas por mensagem iniciadas,4,16.6725,2026-08-24,2026-08-24,
[AGO]_[SN]_Card_Condição - Lote,2026-08-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,27.49,666,539,8,3.43625,Conversas por mensagem iniciadas,2,13.745,2026-08-24,2026-08-24,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-24,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,20.34,360,303,10,2.034,Conversas por mensagem iniciadas,2,10.17,2026-08-24,2026-08-24,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.27,801,707,11,1.11545455,,,,2026-08-24,2026-08-24,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-23,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.43,554,446,12,2.36916667,Conversas por mensagem iniciadas,1,28.43,2026-08-23,2026-08-23,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,15.57,973,806,15,1.038,Conversas por mensagem iniciadas,1,15.57,2026-08-23,2026-08-23,
[AGO]_[SN]_Card_Condição - Lote,2026-08-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.24,1018,881,12,2.35333333,Conversas por mensagem iniciadas,2,14.12,2026-08-23,2026-08-23,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,80.03,4976,3779,52,1.53903846,Conversas por mensagem iniciadas,4,20.0075,2026-08-23,2026-08-23,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,74.29,3809,2906,58,1.28086207,Conversas por mensagem iniciadas,5,14.858,2026-08-23,2026-08-23,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,4.75,297,276,6,0.79166667,,,,2026-08-22,2026-08-22,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-22,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,9.63,217,191,5,1.926,,,,2026-08-22,2026-08-22,
[AGO]_[SN]_Card_Condição - Lote,2026-08-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.89,405,356,1,11.89,Conversas por mensagem iniciadas,1,11.89,2026-08-22,2026-08-22,
